number,title,Final_Group_Name,Final_Set_Name
1,A Practical Sufficient Test of Consciousness for Language Models,Group 2: LLM Theory of Mind & Evaluation,Set B: Computational Agents & Systems
2,How Uninformed Reports Impact Trust: A Formal Model Involving Implicit Intention,Group 3: Multi-Agent Systems & Game Theory,Set B: Computational Agents & Systems
4,NAIL: A Neuropsychological Approach to Interpretability in Large Language Agents: Applications to Theory of Mind,Group 4: Cognitive Architectures & Multimodal ToM,Set A: Human & Cognitive Aspects
5,The AI Tipping Point: How Design and Repeated Use Shape Beliefs about Machine Minds,Group 1: Human-AI Interaction & Trust,Set A: Human & Cognitive Aspects
6,The Resonance Corpus: A Large-Scale Chinese Parentï¿½ï¿½ï¿½Child Conversation D,Group 1: Human-AI Interaction & Trust,Set A: Human & Cognitive Aspects
7,HiVAE: Hierarchical Latent Variables for Scalable Theory of Mind,Group 2: LLM Theory of Mind & Evaluation,Set B: Computational Agents & Systems
8,RToMA: Recursive Theory of Mind Alignment for Large Language Models,Group 4: Cognitive Architectures & Multimodal ToM,Set A: Human & Cognitive Aspects
9,Exploration Through Introspection: A Self-Aware Reward Model,Group 2: LLM Theory of Mind & Evaluation,Set B: Computational Agents & Systems
11,Toward Theory of Mind: BERT Learns and Uses Emotion Geometry in Two Phases,Group 1: Human-AI Interaction & Trust,Set A: Human & Cognitive Aspects
12,Latent Theory of Mind in World Models for Multi-Agent Reinforcement Learning,Group 3: Multi-Agent Systems & Game Theory,Set B: Computational Agents & Systems
13,Predicting Emergent Capabilities Using Sparse Features,Group 2: LLM Theory of Mind & Evaluation,Set B: Computational Agents & Systems
14,Temporal Localization Improves Video Theory of Mind in Multimodal LLMs,Group 4: Cognitive Architectures & Multimodal ToM,Set A: Human & Cognitive Aspects
15,ýýýTell Me Something About Yourselfýýý: Setting Appropriate Perceptions and Expectations on AI Systems,Group 1: Human-AI Interaction & Trust,Set A: Human & Cognitive Aspects
16,On the Evolution of Multi-Agent Communication in Non-Cooperative Games,Group 3: Multi-Agent Systems & Game Theory,Set B: Computational Agents & Systems
17,How Social Environments Shape Brains: Modelling Developmental Adversity using Neural Networks,Group 1: Human-AI Interaction & Trust,Set A: Human & Cognitive Aspects
18,A Computable Game-Theoretic Framework for Multi-Agent Theory of Mind,Group 3: Multi-Agent Systems & Game Theory,Set B: Computational Agents & Systems
19,"On the Interplay of Training Population Diversity, Theory of Mind, and Zero-Shot Coordination",Group 3: Multi-Agent Systems & Game Theory,Set B: Computational Agents & Systems
21,Aesthetic Theory of Mind: Using Artistic Conception Computation as a Litmus Test for Machine ToM,Group 4: Cognitive Architectures & Multimodal ToM,Set A: Human & Cognitive Aspects
22,Morals and Reasoning: Formalizing Moral Influence on Reasoning and AI Systems Alignment,Group 1: Human-AI Interaction & Trust,Set A: Human & Cognitive Aspects
23,Four Decision-Heads are Better Than One: Augmenting Decision Making with Collective Cognition in Small Neural Networks,Group 2: LLM Theory of Mind & Evaluation,Set B: Computational Agents & Systems
24,From Theory of Mind to Theory of Environment: Counterfactual Simulation of Latent Environmental Dynamics,Group 3: Multi-Agent Systems & Game Theory,Set B: Computational Agents & Systems
26,Routing Belief States: A Meta-Cognitive Architecture for Theory of Mind in Language Models,Group 2: LLM Theory of Mind & Evaluation,Set B: Computational Agents & Systems
27,Do Language Models Understand Social Minds? A ToM-based Probe Through Norm Detection,Group 1: Human-AI Interaction & Trust,Set A: Human & Cognitive Aspects
28,AI Alignment Demands Better Emotion Recognition and Social Understanding Capabilities,Group 4: Cognitive Architectures & Multimodal ToM,Set A: Human & Cognitive Aspects
